,names,scores,logfoldchanges,pvals,pvals_adj
0,RCN3,8.223917,27.962114,3.246211510376425e-14,3.013133523931398e-10
1,SNHG12,7.4722004,27.582726,2.9379796365424106e-12,1.3635163493193328e-08
2,IGLC1,7.0290956,27.552347,3.774087666246754e-11,8.856374056743032e-08
3,SNHG3,7.02712,27.484047,3.81658007185651e-11,8.856374056743032e-08
4,IGLC2,6.84644,27.1878,1.054766641637652e-10,1.8824559844957693e-07
5,SLTM,6.8208213,27.359568,1.216842911761971e-10,1.8824559844957693e-07
6,MT-ND4L,6.5651355,27.279112,4.983161583914725e-10,6.607672260270925e-07
7,RIOK3,6.3886876,27.01903,1.294322983221339e-09,1.3348784366956176e-06
8,GDA,6.3886876,27.01903,1.2943229832213488e-09,1.3348784366956176e-06
9,AC067930.8,6.306813,27.095205,2.0049439337894267e-09,1.8609889593433458e-06
10,TNFSF10,6.2729244,26.973984,2.4006811090540774e-09,2.025738368567268e-06
11,SRI,6.2154174,27.184782,3.2546548441600743e-09,2.5174755219578177e-06
12,SLC12A2,6.156391,27.102398,4.440085190164575e-09,3.170220825777506e-06
13,GTF2I,6.1249757,26.954918,5.2342914074560325e-09,3.4703352031433493e-06
14,MAVS,5.9876094,27.102398,1.0682513045569708e-08,6.610339072598536e-06
15,SLC5A9,5.94679,26.927662,1.3179089823509054e-08,7.429693076627746e-06
16,PTBP1,5.9405575,26.989433,1.3607496477340195e-08,7.429693076627746e-06
17,GPM6A,5.9214644,26.830856,1.5006473896067113e-08,7.738338372405275e-06
18,IGHA2,5.8647323,27.122293,2.0047009037810383e-08,9.793491467839787e-06
19,ACSL5,5.849709,27.026562,2.163842419001474e-08,1.004239266658584e-05
20,HINT1,5.745059,26.83931,3.671185412972247e-08,1.622663952533733e-05
21,MAP1LC3A,5.530833,26.70565,1.062496060917559e-07,4.287864538015993e-05
22,CCDC88B,5.530833,26.70565,1.062496060917559e-07,4.287864538015993e-05
23,ZNF655,5.484151,26.767523,1.334625514499063e-07,5.0970988724304884e-05
24,LMF2,5.4783525,26.584139,1.372844988265053e-07,5.0970988724304884e-05
25,SLC22A18,5.467454,26.797586,1.4475888721200045e-07,5.167892273468416e-05
26,TMEM74B,5.4402776,26.617819,1.6516718932283995e-07,5.678080930720742e-05
27,ABCA5,5.3281927,26.70565,2.8322394468045415e-07,9.388873766157055e-05
28,CLRN3,5.285862,26.593996,3.465176450400986e-07,0.00010375408971813591
29,CEP350,5.285862,26.593996,3.465176450400986e-07,0.00010375408971813591
30,SIGIRR,5.285862,26.593996,3.4651764504010054e-07,0.00010375408971813591
31,ENGASE,5.2606053,26.62747,3.90627163488698e-07,0.00011330629160944047
32,FAM160A2,5.224758,26.617819,4.6273054705026663e-07,0.00013015348296122953
33,TAF15,5.192628,26.49958,5.38236903719453e-07,0.00014274042686639892
34,MBD6,5.192628,26.49958,5.38236903719453e-07,0.00014274042686639892
35,IGHG1,5.174926,3.2146986,0.00146044783697957,0.0297278000500973
36,RBM14,5.1055527,26.399162,8.081224852981706e-07,0.00020836091412604498
37,TPR,5.0666385,26.436974,9.675878711126744e-07,0.00023634606893862747
38,RAD50,5.0666385,26.436974,9.675878711126744e-07,0.00023634606893862747
39,ASL,5.0462565,26.723871,1.0628949379791974e-06,0.00025287110475171934
40,LUC7L,5.035467,26.473898,1.1169699735854873e-06,0.00025287110475171934
41,TPRN,5.035467,26.473898,1.1169699735854873e-06,0.00025287110475171934
42,XPO1,4.9782662,26.332335,1.4513199036391887e-06,0.00031171194163724674
43,ANKHD1,4.9782662,26.332335,1.4513199036391887e-06,0.00031171194163724674
44,ALDH18A1,4.974325,26.49958,1.4776260969660477e-06,0.00031171194163724674
45,TGOLN2,4.939022,26.37177,1.7348385716089006e-06,0.00035006025264508293
46,UQCRB,4.939022,26.37177,1.7348385716089006e-06,0.00035006025264508293
47,SDF4,4.907913,26.41024,1.9970276038398285e-06,0.00039439170678385715
48,CNBP,4.8835998,26.447788,2.228272358360177e-06,0.0004308921672978992
49,SCAF11,4.865018,26.484465,2.4222712065960194e-06,0.0004588473742780459
50,PMP22,4.8492236,26.262526,2.5999295877886992e-06,0.00048265092867709415
51,DGCR8,4.8096213,26.30374,3.10259886331768e-06,0.0005433645782889567
52,PRDX5,4.8096213,26.30374,3.10259886331768e-06,0.0005433645782889567
53,AKAP8L,4.8096213,26.30374,3.10259886331768e-06,0.0005433645782889567
54,ATP6V0D1,4.7546577,26.383043,3.958444474070085e-06,0.0006804126223762689
55,NDUFA13,4.718252,26.189444,4.6464927999834715e-06,0.0007701561815972604
56,CDC42BPA,4.718252,26.189444,4.6464927999834715e-06,0.0007701561815972604
57,FAM3D,4.6782613,26.23261,5.535281690061281e-06,0.0008422702401171936
58,ARID4B,4.6782613,26.23261,5.535281690061281e-06,0.0008422702401171936
59,TBRG1,4.6782613,26.23261,5.535281690061281e-06,0.0008422702401171936
60,TMEM125,4.6782613,26.23261,5.535281690061281e-06,0.0008422702401171936
61,RBMX,4.6782613,26.23261,5.535281690061281e-06,0.0008422702401171936
62,RASSF7,4.6473207,26.27461,6.333355895705412e-06,0.0009331144353005974
63,AGPAT2,4.6473207,26.27461,6.333355895705412e-06,0.0009331144353005974
64,GABARAP,4.606507,26.355368,7.557309669497186e-06,0.0010960460680042637
65,ERCC5,4.5851574,26.112753,8.285366619918695e-06,0.0011309525436189018
66,GPT,4.5851574,26.112753,8.285366619918695e-06,0.0011309525436189018
67,NAP1L4,4.5851574,26.112753,8.285366619918695e-06,0.0011309525436189018
68,ADD1,4.5851574,26.112753,8.285366619918695e-06,0.0011309525436189018
69,PTPN18,4.544746,26.158073,9.852697155226192e-06,0.0012880666900677397
70,AKR1C3,4.544746,26.158073,9.852697155226192e-06,0.0012880666900677397
71,SERBP1,4.544746,26.158073,9.852697155226192e-06,0.0012880666900677397
72,GGA1,4.51392,26.202106,1.1236377300214032e-05,0.0014485563069525922
73,CLDN3,4.490904,26.244928,1.2389546875678895e-05,0.0015753393712335823
74,SFPQ,4.47433,26.286602,1.328958504663717e-05,0.0016669449784173813
75,C1orf115,4.449719,26.03206,1.4742947000353461e-05,0.001754410693042062
76,CYP2C18,4.449719,26.03206,1.4742947000353461e-05,0.001754410693042062
77,POLR2B,4.449719,26.03206,1.4742947000353461e-05,0.001754410693042062
78,TUBB,4.449719,26.03206,1.4742947000353461e-05,0.001754410693042062
79,TMEM106C,4.4271293,26.315512,1.6210530924726714e-05,0.0018887468023457432
80,LUZP1,4.4088516,26.079771,1.7499701034446662e-05,0.0018887468023457432
81,RBM10,4.4088516,26.079771,1.7499701034446662e-05,0.0018887468023457432
82,ST13,4.4088516,26.079771,1.7499701034446662e-05,0.0018887468023457432
83,SLC25A6,4.4088516,26.079771,1.7499701034446662e-05,0.0018887468023457432
84,CLCN7,4.4088516,26.079771,1.7499701034446662e-05,0.0018887468023457432
85,PCED1A,4.4088516,26.079771,1.7499701034446662e-05,0.0018887468023457432
86,PSEN1,4.4088516,26.079771,1.7499701034446662e-05,0.0018887468023457432
87,DNAJC4,4.355705,26.170994,2.1832112624004178e-05,0.002302791697454623
88,SATB1,4.355705,26.170994,2.1832112624004178e-05,0.002302791697454623
89,CDHR1,4.3399563,26.214668,2.33022442586381e-05,0.002430240800097515
90,TNRC6B,4.311687,25.946909,2.6182640349259133e-05,0.002641600736106775
91,SNX5,4.311687,25.946909,2.6182640349259133e-05,0.002641600736106775
92,WDR34,4.311687,25.946909,2.6182640349259133e-05,0.002641600736106775
93,SAFB,4.270326,25.99729,3.101923560316788e-05,0.0029991723423813113
94,ATP9A,4.270326,25.99729,3.1019235603168054e-05,0.0029991723423813113
95,EMC9,4.270326,25.99729,3.1019235603168054e-05,0.0029991723423813113
96,PRKCSH,4.239827,26.046072,3.512221273076855e-05,0.0032929735208787237
97,ZDHHC3,4.239827,26.046072,3.512221273076855e-05,0.0032929735208787237
98,SNHG17,4.239827,26.046072,3.512221273076855e-05,0.0032929735208787237
99,PPP1CA,4.2191396,26.30374,3.8195660431495736e-05,0.003526567108345852
100,RER1,4.217992,26.093359,3.8373548582517886e-05,0.003526567108345852
101,ANKRD9,4.1992016,26.03206,4.140019494813189e-05,0.0037674177402800013
102,GRN,4.170773,25.85676,4.6417141985111554e-05,0.00398929548060931
103,SUGP2,4.170773,25.85676,4.6417141985111554e-05,0.00398929548060931
104,SBNO2,4.170773,25.85676,4.6417141985111554e-05,0.00398929548060931
105,SUCLG2,4.170773,25.85676,4.6417141985111554e-05,0.00398929548060931
106,ABCB1,4.170773,25.85676,4.6417141985111554e-05,0.00398929548060931
107,SAR1B,4.170773,25.85676,4.6417141985111554e-05,0.00398929548060931
108,GSTP1,4.128879,25.910135,5.488186752984555e-05,0.00454833477153595
109,FAT1,4.128879,25.910135,5.488186752984555e-05,0.00454833477153595
110,EIF6,4.128879,25.910135,5.488186752984555e-05,0.00454833477153595
111,THRAP3,4.128879,25.910135,5.488186752984555e-05,0.00454833477153595
112,ATP6AP1,4.0986114,25.961716,6.189434968050715e-05,0.004827759275079558
113,GUCY2C,4.0986114,25.961716,6.189434968050715e-05,0.004827759275079558
114,FLVCR1,4.0986114,25.961716,6.189434968050715e-05,0.004827759275079558
115,LAP3,4.0986114,25.961716,6.189434968050715e-05,0.004827759275079558
116,TBRG4,4.0986114,25.961716,6.189434968050715e-05,0.004827759275079558
117,FBLIM1,4.0986114,25.961716,6.189434968050715e-05,0.004827759275079558
118,CRYBG1,4.0986114,25.961716,6.189434968050715e-05,0.004827759275079558
119,RAB11FIP3,4.0775037,26.01162,6.72822166912923e-05,0.00520427946107146
120,BOD1L1,4.037652,25.99729,7.869724907561449e-05,0.005649073654142027
121,SORL1,4.037652,25.99729,7.869724907561449e-05,0.005649073654142027
122,ARHGEF10L,4.037652,25.99729,7.869724907561449e-05,0.005649073654142027
123,NR5A2,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
124,AATK,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
125,NEMF,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
126,VPS13D,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
127,RPN2,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
128,NUFIP2,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
129,OTUD4,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
130,TSPYL1,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
131,AL356488.2,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
132,BECN1,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
133,MOV10,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
134,FBRS,4.026645,25.760965,8.216170473057247e-05,0.005649073654142027
135,PCK2,3.9841752,25.817728,9.69405804143352e-05,0.006381577783020279
136,MTDH,3.9841752,25.817728,9.69405804143352e-05,0.006381577783020279
137,MIA3,3.9841752,25.817728,9.69405804143352e-05,0.006381577783020279
138,ABCG2,3.9841752,25.817728,9.69405804143352e-05,0.006381577783020279
139,SRRT,3.9841752,25.817728,9.69405804143352e-05,0.006381577783020279
140,AL360012.1,3.9841752,25.817728,9.69405804143352e-05,0.006381577783020279
141,GPI,3.9542027,25.872458,0.0001088579433118218,0.006873601563403605
142,TNFRSF25,3.9542027,25.872458,0.0001088579433118218,0.006873601563403605
143,MRPL52,3.9542027,25.872458,0.0001088579433118218,0.006873601563403605
144,PPIG,3.9542027,25.872458,0.0001088579433118218,0.006873601563403605
145,NUDT16L1,3.9542027,25.872458,0.0001088579433118218,0.006873601563403605
146,SULT1A1,3.9213653,25.97638,0.00012350984756999203,0.007746070305031528
147,ATP1B3,3.9120772,25.85676,0.00012798278486423337,0.007792668969545552
148,CHDH,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
149,THUMPD1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
150,ETNK1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
151,LETMD1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
152,FAM160B2,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
153,STK17B,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
154,EIF3E,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
155,ZNF207,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
156,RBM33,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
157,BDP1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
158,CAMK2G,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
159,CDX1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
160,DANCR,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
161,PATJ,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
162,DDC,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
163,TMED2,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
164,RUFY3,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
165,GK,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
166,KDELR1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
167,BTN2A1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
168,SURF1,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
169,PRPF8,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
170,TMC5,3.8789144,25.658747,0.000145241513868927,0.007792668969545552
171,SLC37A1,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
172,NSMF,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
173,TMEM94,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
174,CCNDBP1,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
175,CAPZA1,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
176,APOL2,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
177,HOOK1,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
178,TMEM50B,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
179,ABCA7,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
180,TRIP11,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
181,RNF187,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
182,ACOT7,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
183,SLC2A5,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
184,MAPK13,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
185,STXBP2,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
186,CACNB2,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
187,FOXP1,3.8358228,25.719372,0.0001709836080144537,0.00830926622822073
188,SPIRE2,3.806229,25.777674,0.00019110694911311546,0.00914358093643267
189,PCM1,3.806229,25.777674,0.00019110694911311546,0.00914358093643267
190,STK38,3.786961,25.83383,0.00020539368660982821,0.00967748324422551
191,C3,3.786961,25.83383,0.00020539368660982821,0.00967748324422551
192,VAMP8,3.786961,25.83383,0.00020539368660982821,0.00967748324422551
193,RGMB,3.7359705,25.872458,0.00024823850819996206,0.0103961009052437
194,ACAP3,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
195,MLXIP,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
196,ZC3H13,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
197,CHST5,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
198,PKP4,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
199,SAP25,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
200,AP3D1,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
201,PDPK1,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
202,IKBKB,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
203,FLCN,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
204,AP2S1,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
205,MYL12A,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
206,CNST,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
207,MAFK,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
208,CEP170B,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
209,NET1,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
210,PTK2B,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
211,TMX3,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
212,ADAM10,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
213,EIF4G3,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
214,MAP2K2,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
215,OSBPL7,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
216,BAK1,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
217,CLK3,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
218,DEK,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
219,RIF1,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
220,LINC01133,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
221,ACADM,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
222,KCNK6,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
223,ABCF3,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
224,MKLN1,3.7271206,25.54915,0.0002564864368994621,0.0103961009052437
225,PDHA1,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
226,ABCC2,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
227,PTK6,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
228,CSNK2A1,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
229,TUBB4B,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
230,ARHGAP26,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
231,ZBTB38,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
232,CLTA,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
233,CACFD1,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
234,EXOC7,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
235,ENTPD8,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
236,UNC5CL,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
237,ERAP2,3.68336,25.614218,0.00030121962475782813,0.011553390731413886
238,NISCH,3.654255,25.676607,0.00033494644040035207,0.012536180886274492
239,ANXA11,3.654255,25.676607,0.0003349464404003527,0.012536180886274492
240,PILRB,3.654255,25.676607,0.0003349464404003527,0.012536180886274492
241,GBP2,3.654255,25.676607,0.0003349464404003527,0.012536180886274492
242,RAB40C,3.654255,25.676607,0.0003349464404003527,0.012536180886274492
243,RXRA,3.6361628,25.736538,0.0003576739875388879,0.013279719809343829
244,MIDN,3.6361628,25.736538,0.0003576739875388879,0.013279719809343829
245,DSTN,3.6102824,25.658747,0.00039272373230276654,0.014408148945590036
246,NDUFB7,3.6102824,25.658747,0.00039272373230276654,0.014408148945590036
247,ZSWIM8,3.5940337,25.719372,0.0004163564225913142,0.014587628104969906
248,SNHG32,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
249,EIF3B,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
250,ANP32B,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
251,KIF1C,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
252,ZC3H15,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
253,PHPT1,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
254,TDG,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
255,LBR,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
256,ABHD6,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
257,LCORL,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
258,SLC35E2B,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
259,PAWR,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
260,CIITA,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
261,MRPS34,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
262,AGO4,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
263,KIAA2013,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
264,PTPN6,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
265,CD9,3.5707142,25.430992,0.00045262194507986783,0.014587628104969906
