,names,scores,logfoldchanges,pvals,pvals_adj
0,BCAS1,5.3393607,26.461979,2.580569255330352e-07,0.001990920511880264
1,CDH1,5.17798,26.436752,5.563521344241399e-07,0.001990920511880264
2,PFKP,5.1470246,26.47219,6.434778642146943e-07,0.001990920511880264
3,GBP2,4.9976797,26.447128,1.2871573663096283e-06,0.0020146578791134305
4,CALM3,4.9976797,26.447128,1.2871573663096283e-06,0.0020146578791134305
5,ARAF,4.9653974,26.269794,1.4924341075807263e-06,0.0020146578791134305
6,FOS,4.961488,26.436752,1.5193498334188767e-06,0.0020146578791134305
7,PPP1CA,4.930007,26.506851,1.753910897276778e-06,0.002034975118565382
8,TMEM236,4.8530293,26.421661,2.4847036087780252e-06,0.002269722398920281
9,STK25,4.8349032,26.374256,2.695546106643765e-06,0.002269722398920281
10,ZRANB2,4.7980485,26.241245,3.1788829116530545e-06,0.002269722398920281
11,NEURL1,4.7980485,26.241245,3.1788829116530545e-06,0.002269722398920281
12,SNX5,4.7980485,26.241245,3.1788829116530545e-06,0.002269722398920281
13,CHD4,4.767244,26.281334,3.6462134478301784e-06,0.002417439515911408
14,CSK,4.6193595,3.090899,8.644998474433317e-06,0.004223309254720528
15,DHRS7,4.6135726,26.252996,7.1590533190645096e-06,0.004153145806722299
16,TUG1,4.6135726,26.252996,7.1590533190645096e-06,0.004153145806722299
17,HOOK2,4.5761547,26.241245,8.416801735807724e-06,0.004223309254720528
18,NEMF,4.5751724,26.050545,8.45252675380602e-06,0.004223309254720528
19,PSME1,4.5044074,26.13977,1.1448775479900094e-05,0.00483034245474694
20,SMIM22,4.5044074,26.13977,1.1448775479900094e-05,0.00483034245474694
21,SNHG14,4.5044074,26.13977,1.1448775479900094e-05,0.00483034245474694
22,PRR5,4.465073,26.224136,1.3531732469479726e-05,0.005329516013493241
23,OGFR,4.4406195,25.969963,1.5005458792050933e-05,0.005329516013493241
24,PKP4,4.4406195,25.969963,1.5005458792050933e-05,0.005329516013493241
25,HSPB1,4.4406195,25.969963,1.5005458792050933e-05,0.005329516013493241
26,MTUS1,4.4000087,26.01761,1.7799504031274488e-05,0.005329516013493241
27,GNL3,4.4000087,26.01761,1.7799504031274488e-05,0.005329516013493241
28,VSIR,4.4000087,26.01761,1.779950403127456e-05,0.005329516013493241
29,U2SURP,4.4000087,26.01761,1.779950403127456e-05,0.005329516013493241
30,SLC4A7,4.4000087,26.01761,1.779950403127456e-05,0.005329516013493241
31,NDUFS1,4.303435,25.884924,2.6591158600012643e-05,0.007127664004715191
32,KMT2B,4.303435,25.884924,2.6591158600012643e-05,0.007127664004715191
33,LIMK2,4.303435,25.884924,2.6591158600012643e-05,0.007127664004715191
34,LAP3,4.262318,25.93524,3.148397157868162e-05,0.007127664004715191
35,PSMB8,4.262318,25.93524,3.148397157868162e-05,0.007127664004715191
36,JPT1,4.262318,25.93524,3.148397157868162e-05,0.007127664004715191
37,GUK1,4.262318,25.93524,3.148397157868162e-05,0.007127664004715191
38,ITM2C,4.262318,25.93524,3.148397157868162e-05,0.007127664004715191
39,C3,4.262318,25.93524,3.148397157868162e-05,0.007127664004715191
40,YBX1,4.262318,25.93524,3.148397157868162e-05,0.007127664004715191
41,NR1H4,4.2319956,25.983957,3.563275129304415e-05,0.007874838035762756
42,LTBR,4.1712766,26.01761,4.556597727069955e-05,0.008911970814983813
43,PTP4A2,4.163332,25.794886,4.7046603095691324e-05,0.008911970814983813
44,PPP1R13B,4.163332,25.794886,4.7046603095691324e-05,0.008911970814983813
45,UBE2B,4.163332,25.794886,4.7046603095691324e-05,0.008911970814983813
46,WDR1,4.163332,25.794886,4.7046603095691324e-05,0.008911970814983813
47,UGT2A3,4.163332,25.794886,4.7046603095691324e-05,0.008911970814983813
